MONDO:0007618 {'OMIM:135950'}
MONDO:0007619 {'OMIM:136000'}
MONDO:0007620 {'OMIM:136120'}
MONDO:0007621 {'OMIM:136140'}
MONDO:0007622 {'OMIM:136150'}
MONDO:0007623 {'OMIM:136200'}
MONDO:0007624 {'OMIM:136300'}
MONDO:0007625 {'OMIM:136400'}
MONDO:0007626 {'OMIM:136480'}
MONDO:0007627 {'OMIM:136500'}
MONDO:0007628 {'OMIM:136520'}
MONDO:0007629 {'OMIM:136540'}
MONDO:0007630 {'OMIM:136550'}
MONDO:0007631 {'OMIM:136570'}
MONDO:0007632 {'OMIM:136580'}
MONDO:0007633 {'OMIM:136600'}
MONDO:0007634 {'OMIM:136630'}
MONDO:0007635 {'OMIM:136680'}
MONDO:0007636 {'OMIM:136760'}
MONDO:0007637 {'OMIM:136800'}
MONDO:0007638 {'OMIM:136830'}
MONDO:0007639 {'OMIM:136880'}
MONDO:0007640 {'OMIM:136900'}
MONDO:0007641 {'OMIM:137000'}
MONDO:0007642 {'OMIM:137040'}
MONDO:0007643 {'OMIM:137050'}
MONDO:0007644 {'OMIM:137100'}
MONDO:0007645 {'OMIM:137130'}
MONDO:0007646 {'OMIM:137200'}
MONDO:0007647 {'OMIM:137210'}
MONDO:0007648 {'OMIM:137215'}
MONDO:0007649 {'OMIM:137220'}
MONDO:0007650 {'OMIM:137245'}
MONDO:0007651 {'OMIM:137270'}
MONDO:0007652 {'OMIM:137280'}
MONDO:0007653 {'OMIM:137360'}
MONDO:0007654 {'OMIM:137370'}
MONDO:0007655 {'OMIM:137400'}
MONDO:0007656 {'OMIM:137440'}
MONDO:0007657 {'OMIM:137500'}
MONDO:0007660 {'OMIM:137575'}
MONDO:0007661 {'OMIM:137580'}
MONDO:0007662 {'OMIM:137600'}
MONDO:0007663 {'OMIM:137700'}
MONDO:0007664 {'OMIM:137750'}
MONDO:0007665 {'OMIM:137760'}
MONDO:0007666 {'OMIM:137763'}
MONDO:0007668 {'OMIM:137900'}
MONDO:0007669 {'OMIM:137920'}
MONDO:0007671 {'OMIM:137950'}
MONDO:0007672 {'OMIM:138000'}
